keyid,date,cardid,staffid,name,starttime,endtime
2020-12-26_794690958152,26/12/2020,794690958152,2,Samia Guest,7:02:30,18:00:28
2020-12-26_794690958153,26/12/2020,794690958153,3,Mihai Mccormack,8:09:33,18:20:45
2020-12-26_794690958154,26/12/2020,794690958154,4,Cairon Alford,7:10:58,17:52:54
2020-12-26_794690958155,26/12/2020,794690958155,5,Shivam Burke,7:07:21,18:30:02
2020-12-26_794690958156,26/12/2020,794690958156,6,Emily Villarreal,8:05:37,17:24:42
2020-12-26_794690958157,26/12/2020,794690958157,7,Justin Day,7:05:40,18:33:48
2020-12-26_794690958158,26/12/2020,794690958158,8,Ananya Warren,8:20:28,18:29:53
2020-12-26_794690958159,26/12/2020,794690958159,9,Trinity Powers,7:59:42,18:54:40
2020-12-26_794690958160,26/12/2020,794690958160,10,Clodagh Schmidt,7:49:08,18:49:56
2020-12-26_794690958161,26/12/2020,794690958161,11,Patrik Kidd,7:16:38,17:07:22
2020-12-27_794690958152,27/12/2020,794690958152,2,Samia Guest,7:30:21,18:38:49
2020-12-27_794690958153,27/12/2020,794690958153,3,Mihai Mccormack,7:57:57,17:16:57
2020-12-27_794690958154,27/12/2020,794690958154,4,Cairon Alford,8:53:19,18:25:50
2020-12-27_794690958155,27/12/2020,794690958155,5,Shivam Burke,7:49:58,18:03:13
2020-12-27_794690958156,27/12/2020,794690958156,6,Emily Villarreal,8:40:17,17:57:14
2020-12-27_794690958157,27/12/2020,794690958157,7,Justin Day,7:15:34,18:28:54
2020-12-27_794690958158,27/12/2020,794690958158,8,Ananya Warren,7:10:58,17:37:37
2020-12-27_794690958159,27/12/2020,794690958159,9,Trinity Powers,7:06:02,18:33:48
2020-12-27_794690958160,27/12/2020,794690958160,10,Clodagh Schmidt,7:50:03,18:29:53
2020-12-27_794690958161,27/12/2020,794690958161,11,Patrik Kidd,7:39:46,18:54:40
2020-12-28_794690958152,28/12/2020,794690958152,2,Samia Guest,7:07:30,18:49:56
2020-12-28_794690958153,28/12/2020,794690958153,3,Mihai Mccormack,7:39:56,18:29:59
2020-12-28_794690958154,28/12/2020,794690958154,4,Cairon Alford,8:51:26,17:51:55
2020-12-28_794690958155,28/12/2020,794690958155,5,Shivam Burke,7:15:34,18:53:03
2020-12-28_794690958156,28/12/2020,794690958156,6,Emily Villarreal,7:10:58,18:10:28
2020-12-28_794690958157,28/12/2020,794690958157,7,Justin Day,7:24:53,18:08:59
2020-12-28_794690958158,28/12/2020,794690958158,8,Ananya Warren,7:59:42,18:48:04
2020-12-28_794690958159,28/12/2020,794690958159,9,Trinity Powers,7:49:08,17:19:40
2020-12-28_794690958160,28/12/2020,794690958160,10,Clodagh Schmidt,7:16:38,18:42:17
2020-12-28_794690958161,28/12/2020,794690958161,11,Patrik Kidd,7:30:21,18:31:11
2020-12-29_794690958152,29/12/2020,794690958152,2,Samia Guest,8:02:08,17:44:51
2020-12-29_794690958153,29/12/2020,794690958153,3,Mihai Mccormack,8:12:24,18:37:34
2020-12-29_794690958154,29/12/2020,794690958154,4,Cairon Alford,7:24:53,18:45:02
2020-12-29_794690958155,29/12/2020,794690958155,5,Shivam Burke,7:59:42,17:44:03
2020-12-29_794690958156,29/12/2020,794690958156,6,Emily Villarreal,7:49:08,18:43:17
2020-12-29_794690958157,29/12/2020,794690958157,7,Justin Day,7:15:34,18:52:04
2020-12-29_794690958158,29/12/2020,794690958158,8,Ananya Warren,7:10:58,18:26:54
2020-12-29_794690958159,29/12/2020,794690958159,9,Trinity Powers,8:15:46,17:16:29
2020-12-29_794690958160,29/12/2020,794690958160,10,Clodagh Schmidt,7:22:45,18:37:34
2020-12-29_794690958161,29/12/2020,794690958161,11,Patrik Kidd,8:02:22,18:45:02
2020-12-30_794690958152,30/12/2020,794690958152,2,Samia Guest,8:09:11,18:53:03
2020-12-30_794690958153,30/12/2020,794690958153,3,Mihai Mccormack,7:50:00,18:10:28
2020-12-30_794690958154,30/12/2020,794690958154,4,Cairon Alford,7:49:58,18:08:59
2020-12-30_794690958155,30/12/2020,794690958155,5,Shivam Burke,8:40:17,18:48:04
2020-12-30_794690958156,30/12/2020,794690958156,6,Emily Villarreal,7:15:34,17:32:29
2020-12-30_794690958157,30/12/2020,794690958157,7,Justin Day,7:10:58,17:11:45
2020-12-30_794690958158,30/12/2020,794690958158,8,Ananya Warren,7:24:53,18:21:07
2020-12-30_794690958159,30/12/2020,794690958159,9,Trinity Powers,8:15:22,18:37:34
2020-12-30_794690958160,30/12/2020,794690958160,10,Clodagh Schmidt,8:37:58,18:45:02
2020-12-30_794690958161,30/12/2020,794690958161,11,Patrik Kidd,7:11:03,18:21:34
2020-12-31_794690958152,31/12/2020,794690958152,2,Samia Guest,7:00:09,17:19:29
2020-12-31_794690958153,31/12/2020,794690958153,3,Mihai Mccormack,8:07:49,17:14:08
2020-12-31_794690958154,31/12/2020,794690958154,4,Cairon Alford,7:44:13,18:18:52
2020-12-31_794690958155,31/12/2020,794690958155,5,Shivam Burke,8:01:54,18:06:11
2020-12-31_794690958156,31/12/2020,794690958156,6,Emily Villarreal,8:17:58,18:45:02
2020-12-31_794690958157,31/12/2020,794690958157,7,Justin Day,7:58:06,18:21:34
2020-12-31_794690958158,31/12/2020,794690958158,8,Ananya Warren,7:34:59,18:35:37
2020-12-31_794690958159,31/12/2020,794690958159,9,Trinity Powers,7:53:55,18:19:58
2020-12-31_794690958160,31/12/2020,794690958160,10,Clodagh Schmidt,7:50:03,17:15:11
2020-12-31_794690958161,31/12/2020,794690958161,11,Patrik Kidd,7:39:46,17:12:29
2021-1-1_794690958152,1/1/2021,794690958152,2,Samia Guest,7:07:30,18:14:25
2021-1-1_794690958153,1/1/2021,794690958153,3,Mihai Mccormack,7:39:56,17:38:46
2021-1-1_794690958154,1/1/2021,794690958154,4,Cairon Alford,7:34:16,17:15:21
2021-1-1_794690958155,1/1/2021,794690958155,5,Shivam Burke,7:47:30,18:47:58
2021-1-1_794690958156,1/1/2021,794690958156,6,Emily Villarreal,7:30:14,18:37:34
2021-1-1_794690958157,1/1/2021,794690958157,7,Justin Day,7:10:46,18:45:02
2021-1-1_794690958158,1/1/2021,794690958158,8,Ananya Warren,8:00:17,18:53:03
2021-1-1_794690958159,1/1/2021,794690958159,9,Trinity Powers,8:35:30,18:10:28
2021-1-1_794690958160,1/1/2021,794690958160,10,Clodagh Schmidt,7:25:25,18:11:26
2021-1-1_794690958161,1/1/2021,794690958161,11,Patrik Kidd,7:11:03,18:46:59
2021-1-2_794690958152,2/1/2021,794690958152,2,Samia Guest,7:00:09,17:43:13
2021-1-2_794690958153,2/1/2021,794690958153,3,Mihai Mccormack,8:07:49,18:53:03
2021-1-2_794690958154,2/1/2021,794690958154,4,Cairon Alford,7:44:13,18:10:28
2021-1-2_794690958155,2/1/2021,794690958155,5,Shivam Burke,8:02:33,18:11:26
2021-1-2_794690958156,2/1/2021,794690958156,6,Emily Villarreal,7:34:44,18:46:59
2021-1-2_794690958157,2/1/2021,794690958157,7,Justin Day,7:34:16,18:42:08
2021-1-2_794690958158,2/1/2021,794690958158,8,Ananya Warren,7:47:30,18:01:35
2021-1-2_794690958159,2/1/2021,794690958159,9,Trinity Powers,7:59:36,17:27:34
2021-1-2_794690958160,2/1/2021,794690958160,10,Clodagh Schmidt,8:51:51,17:19:06
2021-1-2_794690958161,2/1/2021,794690958161,11,Patrik Kidd,7:38:54,18:10:16
2021-1-3_794690958152,3/1/2021,794690958152,2,Samia Guest,8:54:56,17:41:06
2021-1-3_794690958153,3/1/2021,794690958153,3,Mihai Mccormack,7:03:28,18:57:26
2021-1-3_794690958154,3/1/2021,794690958154,4,Cairon Alford,7:21:39,17:03:30
2021-1-3_794690958155,3/1/2021,794690958155,5,Shivam Burke,7:11:03,18:10:28
2021-1-3_794690958156,3/1/2021,794690958156,6,Emily Villarreal,7:00:09,18:11:26
2021-1-3_794690958157,3/1/2021,794690958157,7,Justin Day,8:07:49,18:56:04
2021-1-3_794690958158,3/1/2021,794690958158,8,Ananya Warren,7:44:13,18:50:09
2021-1-3_794690958159,3/1/2021,794690958159,9,Trinity Powers,8:27:33,17:36:41
2021-1-3_794690958160,3/1/2021,794690958160,10,Clodagh Schmidt,7:03:00,18:11:26
2021-1-3_794690958161,3/1/2021,794690958161,11,Patrik Kidd,7:26:26,18:56:04
2021-1-4_794690958152,4/1/2021,794690958152,2,Samia Guest,7:34:44,17:44:03
2021-1-4_794690958153,4/1/2021,794690958153,3,Mihai Mccormack,7:34:16,18:43:17
2021-1-4_794690958154,4/1/2021,794690958154,4,Cairon Alford,8:54:06,18:52:04
2021-1-4_794690958155,4/1/2021,794690958155,5,Shivam Burke,7:58:47,18:26:54
2021-1-4_794690958156,4/1/2021,794690958156,6,Emily Villarreal,7:03:28,17:58:26
2021-1-4_794690958157,4/1/2021,794690958157,7,Justin Day,7:21:39,17:43:21
2021-1-4_794690958158,4/1/2021,794690958158,8,Ananya Warren,7:11:03,18:06:04
2021-1-4_794690958159,4/1/2021,794690958159,9,Trinity Powers,7:21:10,17:44:52
2021-1-4_794690958160,4/1/2021,794690958160,10,Clodagh Schmidt,7:34:16,18:52:04
2021-1-4_794690958161,4/1/2021,794690958161,11,Patrik Kidd,7:47:30,18:26:54
